dataset,field,user_fraction,traffic_fraction,relative_weight
beauty,interaction_count,4.477879276374709e-05,0.0013856730666476685,30.944850924375736
beauty,interaction_count,8.955758552749418e-05,0.0025825526306415417,26.728714423111175
beauty,interaction_count,0.00013433637829124128,0.003743810779040359,25.93321697004239
beauty,interaction_count,0.00017911517105498835,0.004734086132582909,22.114829195312222
beauty,interaction_count,0.00022389396381873545,0.005717237203006448,21.955729704698467
beauty,interaction_count,0.00026867275658248256,0.00669682613187048,21.876179959391585
beauty,interaction_count,0.0003134515493462296,0.0076550422113774805,21.398881487550316
beauty,interaction_count,0.0003582303421099767,0.008577636875289424,20.603384034481532
beauty,interaction_count,0.0004030091348737238,0.009464610123606313,19.807886581412745
beauty,interaction_count,0.0004477879276374709,0.010266091974495066,17.89869269404766
beauty,interaction_count,0.000492566720401218,0.011017703843550743,16.784996259751363
beauty,interaction_count,0.0005373455131649651,0.011762191429487407,16.625896769137604
beauty,interaction_count,0.0005821243059287122,0.01249243044918605,16.30769778791009
beauty,interaction_count,0.0006269030986924592,0.013154988779254088,14.7962526270794
beauty,interaction_count,0.0006716818914562063,0.013803298543084102,14.478053645851887
beauty,interaction_count,0.0007164606842199534,0.014419549032878566,13.762105938089979
beauty,interaction_count,0.0007612394769837005,0.015032237381113525,13.682556192783101
beauty,interaction_count,0.0008060182697474476,0.015637801446229473,13.523456702169344
beauty,interaction_count,0.0008507970625111947,0.01623624122822641,13.364357211555587
beauty,interaction_count,0.0008955758552749418,0.016820432443985324,13.046158230328073
beauty,interaction_count,0.0009403546480386889,0.017372564385708687,12.330210522566167
beauty,interaction_count,0.000985133440802436,0.01792113418587255,12.250660777259288
beauty,interaction_count,0.0010299122335661831,0.018462579702917394,12.09156128664553
beauty,interaction_count,0.0010746910263299302,0.019000463078402734,12.012011541338653
beauty,interaction_count,0.0011194698190936773,0.019534784312328572,11.932461796031774
beauty,interaction_count,0.0011642486118574244,0.02005129483845688,11.534713069497382
beauty,interaction_count,0.0012090274046211713,0.020553556798347167,11.216514088269868
beauty,interaction_count,0.0012538061973849184,0.02104869447511844,11.057414597656111
beauty,interaction_count,0.0012985849901486655,0.021536707868770703,10.898315107042354
beauty,interaction_count,0.0013433637829124126,0.022017596979303958,10.739215616428597
beauty,interaction_count,0.0013881425756761597,0.02249848608983721,10.739215616428597
beauty,interaction_count,0.0014329213684399068,0.022975813058810957,10.65966587112172
beauty,interaction_count,0.001477700161203654,0.023446015744665694,10.500566380507962
beauty,interaction_count,0.001522478953967401,0.023912656288960922,10.421016635201083
beauty,interaction_count,0.0015672577467311481,0.024375734691696647,10.341466889894205
